"gene_id2"	"enhancer_id"	"chr"	"middle_point"	"transcription_start"	"distance"	"cor_CRUP"	"combined_tests"
"ENSG00000061273"	"EH38E1608839"	"chr12"	47722660	47819903	-97243	-0.0654889732791077	0.167155201035746
"ENSG00000103353"	"EH38E1807791"	"chr16"	23407895	23557720	-149825	-0.0520488854669464	1.81022560931978
"ENSG00000110665"	"EH38E2940353"	"chr11"	2521806	2301918	219888	-0.0644353634901665	4.98786127606071
"ENSG00000131044"	"EH38E3426774"	"chr20"	31595965	31870701	-274736	0.012822827438112	0.00724593386692941
"ENSG00000138135"	"EH38E2915570"	"chr10"	89516312	89207317	308995	0.0750685035426985	3.65408116942823
"ENSG00000148843"	"EH38E2922038"	"chr10"	103122025	103396625	-274600	0.0475458651055345	0.00826142606870307
"ENSG00000213923"	"EH38E3480458"	"chr22"	37895300	38318084	-422784	-0.0166418184555188	10.168474996972
"ENSG00000218347"	"EH38E3698441"	"chr6"	27753098	27523075	230023	0.152281273154085	0.411365435127345
"ENSG00000223624"	"EH38E2796585"	"chr1"	26036125	25888969	147156	0.119957468974984	1.47008099462389
"ENSG00000229229"	"EH38E3350748"	"chr2"	70132946	70402933	-269987	-0.0415311480503119	0.827225843610625
"ENSG00000231613"	"EH38E2823595"	"chr1"	89429181	89788913	-359732	-0.0431819460568495	0.348540773564913
"ENSG00000242837"	"EH38E1744856"	"chr14"	103330082	103241491	88591	0.0471929789563146	6.91149471617644
"ENSG00000252483"	"EH38E3214250"	"chr17"	21275236	20894638	380598	-0.211665825634037	0
"ENSG00000261341"	"EH38E1961641"	"chr19"	50349336	50793142	-443806	-0.127037831617889	0.714111384934725
